sentence,tag
"['we', 'have', 'recently', 'encountered', 'a', 'patient', 'with', 'acquired', 'haemophilia', 'who', 'developed', 'a', 'thrombotic', 'left', 'middle', 'cerebral', 'artery', 'distribution', 'stroke', 'while', 'being', 'treated', 'with', 'pfviii', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Background', 'I-Background', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'O', 'I-Treatment', 'O']"
"['from', 'these', 'data', ',', 'acute', 'generalized', 'dystonia', 'with', 'brainstem', 'and', 'thalamic', 'lesions', 'may', 'occur', 'in', 'wd', 'patients', 'after', 'an', 'initial', 'd', '-', 'penicillamine', 'therapy', '.']","['O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'I-Problem', 'O', 'O', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O']"
"['the', 'concomitant', 'use', 'of', 'antidepressant', 'drugs', 'associated', 'with', 'lithium', 'as', 'a', 'co', '-', 'adjuvant', 'seems', 'to', 'increase', 'the', 'risk', 'of', 'this', 'adverse', 'reaction', '.']","['O', 'I-Treatment', 'I-Treatment', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'I-Treatment', 'O', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O']"
"['a', 'case', 'of', 'acute', 'subdural', 'haematoma', 'originating', 'spontaneously', 'from', 'an', 'angiomatous', 'meningioma', 'in', 'a', 'patient', 'receiving', 'prophylactic', 'aspirin', 'therapy', 'is', 'presented', '.']","['O', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'O', 'I-Background', 'I-Background', 'O', 'O', 'O', 'O', 'O', 'I-Treatment', 'O', 'O', 'O', 'O']"
"['a', 'patient', 'developed', 'transient', ',', 'acute', 'myopia', 'while', 'on', 'isotretinoin', '(', 'accutane', ')', 'therapy', 'for', 'acne', '.']","['O', 'O', 'O', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'I-Treatment', 'O', 'I-Treatment', 'O', 'O', 'O', 'I-Problem', 'O']"
"['we', 'report', 'two', 'adults', 'who', 'received', 'gabapentin', '(', 'gbp', ')', 'and', 'subsequently', 'developed', 'behavioural', 'side', 'effects', '.']","['O', 'O', 'O', 'I-Background', 'O', 'O', 'I-Treatment', 'O', 'I-Treatment', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'O']"
"['acute', 'myeloid', 'leukemia', 'and', 'lung', 'cancer', 'occurring', 'in', 'a', 'chronic', 'lymphocytic', 'leukemia', 'patient', 'treated', 'with', 'fludarabine', 'and', 'autologous', 'peripheral', 'blood', 'stem', '-', 'cell', 'transplantation', '.']","['I-Problem', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'I-Treatment', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O']"
"['46', '-', 'year', '-', 'old', 'woman', 'developed', 'painful', 'ulcers', 'over', 'her', 'lower', 'abdomen', 'in', 'the', 'form', 'of', 'reticulate', 'erythema', 'after', 'injecting', 'interferon', 'beta', '-', '1b', 'subcutaneously', 'for', 'multiple', 'sclerosis', '.']","['I-Background', 'I-Background', 'I-Background', 'I-Background', 'I-Background', 'I-Background', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'I-Problem', 'I-Problem', 'O']"
"['the', 'sulfonamides', 'are', 'the', 'best', 'verified', 'drug', '-', 'trigger', 'for', 'erythema', 'multiforme', 'and', 'stevens', '-', 'johnson', 'syndrome', '.']","['O', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'O']"
"['a', '56', '-', 'year', '-', 'old', 'woman', 'with', 'scleroderma', 'developed', 'rapidly', 'progressive', 'glomerulonephritis', 'with', 'epithelial', 'crescents', 'associated', 'with', 'hemoptysis', 'after', '27', 'months', 'of', 'd', '-', 'penicillamine', 'therapy', 'and', 'a', 'cumulative', 'dose', 'of', '1', ',', '200', 'g', '.']","['O', 'I-Background', 'I-Background', 'I-Background', 'I-Background', 'I-Background', 'I-Background', 'O', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'O', 'I-Other', 'I-Other', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'O', 'I-Treatment', 'I-Treatment', 'O', 'I-Treatment', 'O', 'I-Treatment', 'I-Treatment', 'O']"
