sentence,tag
"['patient', ':', 'hello', 'doctor', '!', 'my', 'name', 'is', 'jennifer', '.', 'gender', 'is', 'female', '.', 'age', 'is', '25', '.', 'my', 'main', 'issue', 'is', ':', 'terrible', 'stomach', 'pain', ',', 'irritability', ',', 'headache', '.', 'anemic', 'and', 'taking', 'ferrous', 'sulfate', '.', 'my', 'current', 'medications', 'are', ':', 'none']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Background', 'O', 'O', 'O', 'I-Background', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'O', 'I-Problem', 'O', 'I-Problem', 'O', 'O', 'I-Treatment', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['doctor', ':', 'do', 'you', 'have', 'constipation', '?']","['O', 'O', 'O', 'O', 'O', 'I-Problem', 'O']"
"['patient', ':', 'yes', ',', 'i', 'had', 'a', 'blood', 'test', 'done', 'for', 'my', 'extreme', 'fatigue', '.', 'i', 'have', 'extremely', 'low', 'iron', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Test', 'I-Test', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'O']"
"['patient', ':', 'i', 'am', 'on', 'ferrous', 'sulfate', 'to', 'raise', 'my', 'iron', '.', 'it', 'makes', 'me', 'feel', 'like', 'i', 'have', 'the', 'flu', '.']","['O', 'O', 'O', 'O', 'O', 'I-Treatment', 'I-Treatment', 'O', 'I-Test', 'I-Test', 'I-Test', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'O', 'O', 'O', 'I-Problem', 'O']"
"['doctor', ':', 'usually', ',', 'people', 'who', 'take', 'ferrous', 'sulfate', 'tend', 'to', 'get', 'constipated', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Treatment', 'I-Treatment', 'O', 'O', 'O', 'I-Problem', 'O']"
"['doctor', ':', 'drink', 'more', 'water', '.', 'eat', 'more', 'fiber', 'and', 'exercise', 'more', '.', 'take', 'senna', ',', 'an', 'herbal', 'laxative', '.', 'take', 'probiotic', 'supplements']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Treatment', 'O', 'O', 'I-Treatment', 'I-Treatment', 'O', 'O', 'I-Treatment', 'I-Treatment']"
"['patient', ':', 'hello', 'doctor', '!', 'my', 'name', 'is', 'jane', '.', 'gender', 'is', 'female', '.', 'age', 'is', '34', '.', 'my', 'main', 'issue', 'is', ':', 'labs', '.', 'my', 'current', 'medications', 'are', ':', 'none']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Background', 'O', 'O', 'O', 'I-Background', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['patient', ':', 'hello', '.', 'i', 'have', 'a', 'question', 'about', 'my', 'bloodwork', '.', 'especially', 'in', 'regards', 'to', 'coronavirus', '.', 'do', 'you', 'know', 'what', 'the', 'bloodwork', 'looks', 'like', 'for', 'a', 'person', 'with', 'covid', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Test', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Test', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'O']"
"['doctor', ':', 'yes', '.', 'how', 'many', 'days', 'post', 'covid-19', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O']"
"['patient', ':', 'it', 'has', 'been', '3', 'months', '.', 'i', 'am', 'concerned', 'because', 'i', 'think', 'i', 'am', 'still', 'suffering', 'from', 'the', 'virus', '.', 'i', 'always', 'feel', 'sick', '.']","['O', 'O', 'O', 'O', 'O', 'I-Other', 'I-Other', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'O', 'O', 'O', 'O', 'I-Problem', 'O']"
"['doctor', ':', 'when', 'did', 'you', 'last', 'get', 'the', 'test', 'done', '?', 'it', 'must', 'have', 'shown', ""it's"", 'negative', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Test', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
